namedate,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name
2020-11-25-11-abilene-christian,33.3,5,7.7,2,100,81.8,27,0.324,51,0.294,15,0.333,17,0.824,14,1,200,67.1,31.4,11,26,47,,8.6,6,0.412,21,0.143,3,55.9,38,0.398,27.3,22,30,0.4,12,0,0,"November 25, 2020",70,14,10,3,67.1,68.6,24,0.541,49,0.408,20,0.551,27,0.63,17,0,200,100,18.2,6,21,70,,11.4,8,0.469,23,0.565,13,44.1,30,0.566,19.8,15,26,0.269,7,1,1,"Germain Arena, Estero, Florida",EAST-TENNESSEE-STATE,ETSU,70.5,Home,ABILENE-CHRISTIAN,Abilene Christian
2020-11-27-14-austin-peay,41.4,12,2.4,1,96,64.5,20,0.594,53,0.547,29,0.547,29,0.586,17,0,200,106.7,19.2,5,18,80,,16,12,0.17,9,0.556,5,43.9,25,0.599,18.6,15,44,0.545,24,1,2,"November 27, 2020",44.4,12,2.3,1,106.7,80.8,21,0.5,59,0.458,27,0.271,16,0.813,13,1,200,96,35.5,11,23,72,,2.7,2,0.288,17,0.294,5,56.1,32,0.541,21.4,18,42,0.524,22,0.667,2,"Germain Arena, Estero, Florida",AUSTIN-PEAY,Austin Peay,75.2,Away,ABILENE-CHRISTIAN,Abilene Christian
2020-11-28-11-nebraska-omaha,57.7,15,0,0,78.4,81.5,22,0.5,58,0.448,26,0.345,20,0.6,12,0,200,94.6,28.6,10,14,70,,12.2,9,0.207,12,0.5,6,51.6,32,0.519,17.3,14,46,0.435,20,1,3,"November 28, 2020",47.8,11,4.3,2,94.6,71.4,25,0.462,52,0.442,23,0.25,13,0.769,10,2,200,78.4,18.5,5,21,58,,12.2,9,0.269,14,0.143,2,48.4,30,0.498,28.5,23,38,0.553,21,0.333,1,"Germain Arena, Estero, Florida",NEBRASKA-OMAHA,Omaha,73.8,Away,ABILENE-CHRISTIAN,Abilene Christian
2020-12-01-20-abilene-christian,52.9,9,8.1,3,98.8,56.4,22,0.4,50,0.34,17,0.3,15,0.733,11,0,200,62.2,15.2,5,21,51,,4.9,4,0.38,19,0.316,6,37.5,27,0.446,33.9,29,31,0.355,11,0,0,"December 1, 2020",63.3,19,12.9,4,62.2,84.8,28,0.493,70,0.429,30,0.3,21,0.571,12,0,200,98.8,43.6,17,16,81,,17.1,14,0.471,33,0.273,9,62.5,45,0.506,19.3,19,37,0.568,21,1,4,"Moody Coliseum , Abilene, Texas","Howard Payne
			","Howard Payne
			",81.6,Home,ABILENE-CHRISTIAN,Abilene Christian
2020-12-05-20-abilene-christian,33.3,5,13.8,4,97.2,71.4,25,0.443,35,0.429,15,0.829,29,0.586,17,2,200,67.6,20.8,5,25,48,,14.1,10,0.229,8,0.125,1,50.8,30,0.492,37,28,27,0.519,14,0.333,1,"December 5, 2020",65.2,15,7.4,2,67.6,79.2,19,0.491,56,0.411,23,0.393,22,0.636,14,0,200,97.2,28.6,10,21,69,,14.1,10,0.482,27,0.333,9,49.2,29,0.519,17.6,14,29,0.483,14,1,5,"Moody Coliseum , Abilene, Texas",TARLETON-STATE,Tarleton State,71.1,Home,ABILENE-CHRISTIAN,Abilene Christian
2020-12-09-19-texas-tech,37.5,6,10.7,3,77.3,64.5,20,0.422,45,0.356,16,0.2,9,0.667,6,1,200,66.7,15,3,31,44,,12.1,8,0.4,18,0.333,6,45.1,23,0.446,29,20,27,0.37,10,0.833,5,"December 9, 2020",58.3,7,22.2,6,66.7,85,17,0.302,43,0.279,12,0.86,37,0.676,25,1,200,77.3,35.5,11,16,51,17,13.6,9,0.349,15,0.133,2,54.9,28,0.421,21.3,16,28,0.357,10,0.833,5,"United Supermarkets Arena, Lubbock, Texas",ABILENE-CHRISTIAN,Abilene Christian,65.9,Home,TEXAS-TECH,Texas Tech
2020-12-12-14-abilene-christian,42.1,8,10,4,110.7,62.5,25,0.425,53,0.358,19,0.151,8,0.125,1,0,200,61.3,25.7,9,24,46,,5.3,4,0.415,22,0.318,7,45.3,34,0.405,31.5,26,31,0.387,12,0,0,"December 12, 2020",64.5,20,6.5,2,61.3,74.3,26,0.493,71,0.437,31,0.31,22,0.591,13,1,200,110.7,37.5,15,19,83,,18.7,14,0.437,31,0.258,8,54.7,41,0.51,11,10,40,0.575,23,0.857,6,"Moody Coliseum , Abilene, Texas","McMurry
			","McMurry
			",75.1,Home,ABILENE-CHRISTIAN,Abilene Christian
2020-12-16-20-abilene-christian,48.1,13,5.9,3,114.5,61,25,0.535,57,0.474,27,0.263,15,0.8,12,0,200,88,22.2,6,29,73,,3.6,3,0.281,16,0.438,7,45.6,31,0.569,28.2,25,41,0.488,20,0,0,"December 16, 2020",50,16,9.8,4,88,77.8,21,0.5,68,0.471,32,0.632,43,0.628,27,1,200,114.5,39,16,18,95,,15.7,13,0.25,17,0.235,4,54.4,37,0.537,11.2,11,51,0.549,28,0.875,7,"Teague Special Events Center, Abilene, Texas","Hardin-Simmons
			","Hardin-Simmons
			",83.3,Home,ABILENE-CHRISTIAN,Abilene Christian
2020-12-22-17-arkansas,44.8,13,11.8,4,116.4,58.6,17,0.516,61,0.475,29,0.246,15,0.6,9,2,200,98.6,25,8,19,72,,4.1,3,0.361,22,0.227,5,41,25,0.528,15.1,12,39,0.615,24,0.778,7,"December 22, 2020",57.7,15,12.8,5,98.6,75,24,0.517,59,0.441,26,0.508,30,0.8,24,0,200,116.4,41.4,12,18,85,,8.2,6,0.424,25,0.36,9,59,36,0.58,15.3,13,34,0.5,17,1,8,"Bud Walton Arena, Fayetteville, Arkansas",ABILENE-CHRISTIAN,Abilene Christian,73.2,Home,ARKANSAS,Arkansas
2020-12-29-20-abilene-christian,53.3,8,0,0,110.8,64.3,18,0.408,49,0.306,15,0.184,9,0.444,4,0,200,59.5,13.9,5,22,44,,6.8,5,0.449,22,0.455,10,35.9,23,0.413,32.1,25,27,0.185,5,0,0,"December 29, 2020",58.1,18,18.5,5,59.5,86.1,31,0.557,61,0.508,31,0.377,23,0.609,14,2,200,110.8,35.7,10,16,82,,16.2,12,0.475,29,0.207,6,64.1,41,0.57,15.5,13,32,0.781,25,0.8,8,"Moody Coliseum , Abilene, Texas","Dallas Christian
			","Dallas Christian
			",74.1,Home,ABILENE-CHRISTIAN,Abilene Christian
